,ID,Catchment Name,Area (m2),Length,Slope (Gradient),Order,Proportional coefficient (K),Exponential Coefficient (P),River System,Source_river,Target_river,f1,fsa,rsa,slope,K
57,58,3998_2,989000,2039,0.004,104,15.066,1,Rangitaki,104,103,0.4,0.7,99,0.004,15.066
56,57,3998_1,5897000,7340,0.0087,104,19.12,1,Rangitaki,104,103,0.4,0.7,102,0.0087,19.12
55,56,3939_2,1290000,1490,0.00821,104,10.275,1,Rangitaki,104,103,0.4,0.7,101,0.00821,10.275
54,55,3939_1,1305000,2860,0.00609,104,14.754,1,Rangitaki,104,103,0.4,0.7,98,0.00609,14.754
53,54,3931_2,1215000,2309,0.00357,104,16.465,1,Rangitaki,104,103,0.4,0.7,98,0.00357,16.465
52,53,3931_1,711000,1981,0.00582,104,12.543,1,Rangitaki,104,103,0.4,0.7,100,0.00582,12.543
51,52,2979_1,793000,2648,0.00609,104,14.108,1,Rangitaki,104,103,0.4,0.7,99,0.00609,14.108
50,51,2976_2,1600000,2854,0.00696,104,15.615,1,Rangitaki,104,103,0.4,0.7,95,0.00696,15.615
49,50,2976_1,1341000,4233,0.00505,104,16.934,1,Rangitaki,104,103,0.4,0.7,100,0.00505,16.934
48,49,2956_2,442000,1246,0.17367,18,20.845,1,Rangitaki,18,17,0.15,0.2,122,0.17367,20.845
47,48,2956_1,422000,1123,0.19829,17,21.399,1,Rangitaki,17,16,0.15,0.2,131,0.19829,21.399
46,47,2556_2,2418000,2100,0.00811,98,61.992,1,Rangitaki,98,96,0.15,0.25,116,0.00811,61.992
45,46,2556_1,569000,1316,0.00188,98,17.542,1,Rangitaki,98,96,0.4,0.7,99,0.00188,17.542
44,45,2272_2,898000,1543,0.00263,69,71.048,1,Rangitaki,69,67,0.15,0.25,104,0.00263,71.048
43,44,2272_1,4151000,5233,0.00352,67,21.723,1,Rangitaki,67,63,0.4,0.7,99,0.00352,21.723
42,43,2270_1,1058000,2237,0.01187,309,10.851,1,Rangitaki,309,306,0.4,0.7,98,0.01187,10.851
41,42,2256_1,451000,1009,0.29128,14,22.169,1,Rangitaki,14,13,0.15,0.2,150,0.29128,22.169
40,41,2253_1,562000,881,0.19639,15,20.424,1,Rangitaki,15,14,0.15,0.2,133,0.19639,20.424
39,40,2249_2,1136000,2028,0.04988,11,36.061,1,Rangitaki,11,9,0.15,0.2,128,0.04988,36.061
38,39,2249_1,1632000,4028,0.03334,9,52.654,1,Rangitaki,9,7,0.15,0.2,130,0.03334,52.654
37,38,1946_1,5307000,5885,0.02611,1,63.785,1,Rangitaki,1,0,0.15,0.2,128,0.02611,63.785
36,37,1938_2,539000,1590,0.08861,7,28.671,1,Rangitaki,7,6,0.15,0.2,134,0.08861,28.671
35,36,1938_1,697000,1954,0.16264,9,26.431,1,Rangitaki,9,7,0.15,0.2,131,0.16264,26.431
34,35,1931_1,1043000,1431,0.08392,13,27.27,1,Rangitaki,13,11,0.15,0.2,122,0.08392,27.27
33,34,1922_1,409000,745,0.28161,18,17.421,1,Rangitaki,18,17,0.15,0.2,135,0.28161,17.421
32,33,1905_2,727000,2269,0.02223,83,11.423,1,Rangitaki,83,81,0.4,0.7,110,0.02223,11.423
31,32,1905_1,1824000,1979,0.01191,81,12.579,1,Rangitaki,81,78,0.4,0.7,101,0.01191,12.579
30,31,1647_1,1242000,1753,0.00807,351,15.877,1,Rangitaki,351,350,0.4,0.75,111,0.00807,15.877
29,30,1618_1,44267000,15939,0.02244,350,36.804,0.693,Rangitaki,350,309,0.4,0.95,103.6,0.02244,36.804
28,29,0516_2,1324000,2498,0.09046,184,30.624,1,Rangitaki,184,183,0.15,0.25,118,0.09046,30.624
27,28,0516_1,1802000,3435,0.05684,183,12.015,1,Rangitaki,183,179,0.4,0.75,111,0.05684,12.015
26,27,0514_1,588000,1644,0.12949,183,24.034,1,Rangitaki,183,179,0.15,0.25,119,0.12949,24.034
25,26,0512_1,22483000,9526,0.03476,179,67.258,1,Rangitaki,179,178,0.15,0.25,120,0.03476,67.258
